step	accuracy
0	0.4716242551803589
1	0.5185909867286682
2	0.5890411138534546
3	0.6565557718276978
4	0.7191780805587769
5	0.7201565504074097
6	0.7553815841674805
7	0.7798434495925903
8	0.7769080400466919
9	0.7954990267753601
10	0.8072407245635986
11	0.8082191944122314
12	0.805283784866333
13	0.8170254230499268
14	0.8297455906867981
15	0.8268101811408997
16	0.8336594700813293
17	0.835616409778595
18	0.8375734090805054
19	0.839530348777771
20	0.8375734090805054
21	0.839530348777771
22	0.839530348777771
23	0.8473581075668335
24	0.8473581075668335
25	0.8512719869613647
26	0.8551859259605408
27	0.854207456111908
28	0.8561643958091736
29	0.859099805355072
30	0.8551859259605408
31	0.859099805355072
32	0.8600782752037048
33	0.8581213355064392
34	0.8600782752037048
35	0.8600782752037048
36	0.8630136847496033
37	0.8610567450523376
38	0.8659490942955017
39	0.8659490942955017
40	0.8639921545982361
41	0.8688845634460449
42	0.8708415031433105
43	0.8718199729919434
44	0.8727984428405762
45	0.8718199729919434
46	0.8698630332946777
47	0.873776912689209
48	0.8688845634460449
49	0.8688845634460449
50	0.8718199729919434
51	0.8747553825378418
52	0.8747553825378418
53	0.8727984428405762
54	0.8767123222351074
55	0.8757338523864746
56	0.8708415031433105
57	0.8727984428405762
58	0.8747553825378418
59	0.8718199729919434
60	0.8747553825378418
61	0.8757338523864746
62	0.8767123222351074
63	0.8776907920837402
64	0.8767123222351074
65	0.8796477317810059
66	0.878669261932373
67	0.873776912689209
68	0.8757338523864746
69	0.8757338523864746
70	0.8757338523864746
71	0.878669261932373
72	0.8767123222351074
73	0.8835616707801819
74	0.8747553825378418
75	0.8796477317810059
76	0.878669261932373
77	0.8776907920837402
78	0.8796477317810059
79	0.8825831413269043
80	0.8767123222351074
81	0.8776907920837402
82	0.8806262016296387
83	0.878669261932373
84	0.8796477317810059
85	0.8796477317810059
86	0.8816046714782715
87	0.8806262016296387
88	0.8806262016296387
89	0.8806262016296387
90	0.8835616707801819
91	0.8835616707801819
92	0.8835616707801819
93	0.8825831413269043
94	0.8816046714782715
95	0.8806262016296387
96	0.8816046714782715
97	0.8825831413269043
98	0.8816046714782715
99	0.8816046714782715
100	0.8874755501747131
101	0.8835616707801819
102	0.8816046714782715
103	0.8835616707801819
104	0.888454020023346
105	0.8845401406288147
106	0.8835616707801819
107	0.8806262016296387
108	0.8825831413269043
109	0.8835616707801819
110	0.8825831413269043
111	0.8855186104774475
112	0.8835616707801819
113	0.8825831413269043
114	0.8874755501747131
115	0.8855186104774475
116	0.8855186104774475
117	0.8855186104774475
118	0.8855186104774475
119	0.8855186104774475
